Name,eval_Txt2Audio_mAP,val_Txt2Audio_mAP,eval_Audio2Txt_mAP,val_Audio2Txt_mAP,eval_Txt2Audio_R10,val_Txt2Audio_R10,seed
twilight-vortex-21,0.14461900000000000,0.1442720000000000,0.05927400000000000,0.056897999999999997,0.34086100000000003,0.35043099999999999,88
clear-gorge-11,0.1388750000000000,0.1367130000000000,0.05139100000000000,0.052522000000000,0.32803800000000000,0.34200999999999998,42
glad-cherry-12,0.13808300000000001,0.14185700000000001,0.048709000000000002,0.05258800000000000,0.3295690000000000,0.3427750000000000,42
lyric-snowflake-3,0.1364410000000000,0.1452660000000000,0.048155000000000003,0.050856999999999999,0.3402870000000000,0.34220099999999998,42
denim-lion-22,0.13538700000000001,0.14043000000000000,0.050268000000000000,0.05510900000000000,0.32995200000000002,0.3429670000000000,88
glowing-haze-13,0.1346620000000000,0.1376000000000000,0.04574000000000000,0.05270900000000000,0.332823000000000,0.33933000000000002,88
hearty-bird-15,0.13417499999999999,0.1307000000000000,0.05253500000000000,0.051658000000000003,0.33588499999999999,0.33090900000000001,88
fearless-lake-6,0.13375400000000001,0.13204099999999999,0.0509040000000000,0.05591900000000000,0.3253590000000000,0.331866000000000,42
ruby-dawn-8,0.1324570000000000,0.1324810000000000,0.04570500000000000,0.04937300000000000,0.3253590000000000,0.33052599999999999,42
lyric-planet-16,0.1312270000000000,0.12837000000000001,0.05008100000000000,0.04956500000000000,0.32,0.33129199999999998,88
youthful-feather-18,0.1311850000000000,0.12568099999999999,0.04816400000000000,0.04745200000000000,0.3228710000000000,0.31272699999999998,88
wobbly-capybara-5,0.13058700000000001,0.13401600000000000,0.04715700000000000,0.05085900000000000,0.3303350000000000,0.3464110000000000,42
smart-river-19,0.1293090000000000,0.11981600000000001,0.04738500000000000,0.04134300000000000,0.32229700000000000,0.304689000000000,88
crisp-armadillo-17,0.12511500000000000,0.123851000000000,0.039556000000000001,0.04835700000000000,0.3186600000000000,0.31521500000000002,88
crisp-cherry-20,0.12507099999999999,0.1208120000000000,0.04530900000000000,0.04445300000000000,0.3244020000000000,0.31023899999999999,88
driven-totem-14,0.12476200000000000,0.12238000000000000,0.04217500000000000,0.04651400000000000,0.3058370000000000,0.3111960000000000,88
resilient-wind-4,0.12464300000000000,0.1249720000000000,0.04362600000000000,0.0522650000000000,0.32229700000000000,0.30851699999999999,42
chocolate-meadow-7,0.12415400000000000,0.12112000000000001,0.03846200000000000,0.04220600000000000,0.3090910000000000,0.30890000000000001,42
confused-monkey-9,0.12395100000000001,0.12347300000000000,0.04245200000000000,0.04291900000000000,0.31464100000000000,0.3133010000000000,42
exalted-paper-10,0.12352500000000000,0.12433200000000000,0.0445490000000000,0.0459510000000000,0.31349300000000002,0.30985600000000002,42
