filename,fid,similarity_score_cap_col_1,similarity_score_cap_col_2,similarity_score_cap_col_3,similarity_score_cap_col_4,similarity_score_cap_col_5
Schmatzschmatz_dry.wav,a63ac4983c309838bbdcf6422fa9e519,0.0009965896606445,0.000996708869934,0.0008479356765747,0.0009689331054687,0.0008643865585327
Schnelllauferpresse 03.wav,3e78c3f29d433ebd310aa9d0689a90c5,0.0005019903182983,0.0006808042526245,0.0006712675094604,0.0006016492843627,0.0005615353584289
School Kids Walk.wav,a23a32f45126521ee9536fc601b4ec92,0.0002716779708862,0.0002597570419311,0.0001293420791625,0.0002010464668273,0.0003209114074707
School.wav,3809707616c5779edf7e3a9dcfef4f7e,0.0003753304481506,0.0001585483551025,0.0003197789192199,0.0003403425216674,0.0004329085350036
Scifi Elevator Start Moving and Stop.wav,a6752706bf3b8166c30e91d6023a93df,0.0003219842910766,0.0003809332847595,0.0003508329391479,0.0002654790878295,0.000325322151184
Scissors Cutting Paper.wav,6058e3ffcb1863b8de7eef0b8fd69560,0.0004717111587524,0.0003919601440429,0.0003110766410827,0.0002342462539672,0.0001789927482604
Scissors and cutting through paper.wav,0ab62650c6b2e15789195eb79cb51871,0.0007146596908569,0.0006419420242309,0.0006790161132812,0.0006372332572937,0.0006778240203857
Scratching head.wav,2968c6ecf883c10520824406dccc48ca,0.0008968114852905,0.0006218552589416,0.0003293752670288,0.0006296038627624,0.0006399750709533
Scratching materal.wav,63a1b942938c8500de21e504f14e9053,0.0003324747085571,0.0003836750984191,0.0003656148910522,0.0004823803901672,0.0004239082336425
Scratching polystyrene.wav,241a891f40f9e5b6e12fdeb3989f7f60,0.0004175901412963,0.0003729462623596,0.0003870725631713,0.000585913658142,0.0003174543380737
Screaming Door.wav,b7dc1093f653995b2beb3ead82392322,0.0020849704742431,0.0023968815803527,0.0026533603668212,0.0021350383758544,0.0026252269744873
Screws.wav,7e0184f12c087b5637e830edb4d38f60,0.0003414750099182,0.0003339052200317,0.0003523826599121,0.0003787279129028,0.0003665089607238
SeaShell_03.wav,9053624bf626ffe16dcf3a5f14c56df4,0.0004531741142272,0.000376284122467,0.0003976225852966,0.000364601612091,0.0003868341445922
Seagulls 1.wav,196f1507d535c7e3d42a00d961bc8adb,0.0018303990364074,0.0014082193374633,0.0015144944190979,0.0019238591194152,0.0013701915740966
"Seagulls, Ducks and Carp Fish Feeding Frenzy - Lake Mead, Nevada USA.wav",56687732e0ef0dda4bb6391a536dc407,0.0003750324249267,0.0006415843963623,0.0005350112915039,0.0005148649215698,0.000527024269104
Seashell dragged on tile floor.wav,7750f44bb02bb4dc69eaf325f880327d,0.0003252029418945,0.0003120899200439,0.0003345012664794,0.0005440711975097,0.0004212856292724
Seaside-Town-Atmos Ambience Atmosphere.wav,f5c12fc06ec61af2806d7b64f31e06ce,0.0007687211036682,0.0004997253417968,0.0003995299339294,0.0004811882972717,0.0007350444793701
Seawall.wav,4c0b6df8c553e146866c3164f9b63bca,0.0005505084991455,0.0004633665084838,0.0004776120185852,0.0003898739814758,0.0004040002822875
Seawash (calm) .wav,e6f73d3051db0228dc247a2e6a2fc8d2,0.0003445148468017,0.0003942251205444,0.0005030632019042,0.000484824180603,0.0003873109817504
Serin.wav,2d56e6d50359c8f4ef8302fa7db3563d,0.0009403228759765,0.0006365776062011,0.0006111860275268,0.0007610321044921,0.0005195140838623
Serving Water Slowly.wav,92e54fd2ebfa348af05fceba6876c50e,0.0003617405891418,0.0004399418830871,0.0004023909568786,0.0004311203956604,0.0003598928451538
