"Name","ID","AdamOptimizer-args-lr","DualEncoderModel-audio_enc-conv_dropout","DualEncoderModel-audio_enc-conv_fine_tune_from","DualEncoderModel-audio_enc-fc_dropout","DualEncoderModel-audio_enc-fc_units","criteria-infonce_loss-args-temperature","DualEncoderModel-text_enc-fc_units","after_train_eval_obj","val_obj","eval_Txt2Audio_mAP","eval_Txt2Audio_R10","eval_Txt2Audio_R5","val_Txt2Audio_mAP","val_Txt2Audio_R10","val_Txt2Audio_R5","eval_Audio2Txt_mAP","eval_Audio2Txt_R10","eval_Audio2Txt_R5","val_Audio2Txt_mAP","val_Audio2Txt_R10","val_Audio2Txt_R5"
"summer-sweep-87","g2qdlpb1","0.0006411930704192249","0.12550868127339068","4","0.34520519706906516","909","0.08009114544713761","414","2.4064606537179247","2.248525117382859","0.22520460241512885","0.5004784688995215","0.3552153110047847","0.21901283511809816","0.4815311004784689","0.3448803827751196","0.08826148705096083","0.17760765550239205","0.10449760765550276","0.0930053163211058","0.1867942583732057","0.11272727272727322"
"frosty-sweep-8","m5e6a068","0.0004310848159058503","0.1848374005729535","4","0.2761125230996232","430","0.0960543640590865","377","2.406959165160249","2.2644401282975166","0.22321804511278212","0.47942583732057414","0.34411483253588515","0.21817308422571624","0.48","0.3402870813397129","0.09090035695298856","0.1760765550239233","0.11215311004784742","0.09004837852206285","0.17799043062200956","0.10641148325358894"
"wise-sweep-90","u2ji6ouj","0.0006244365670042761","0.1531080335512409","3","0.3779214372088451","511","0.08295237751592996","293","2.4303456893781337","2.290592482595733","0.22394592541960973","0.4773205741626794","0.3443062200956938","0.2141806789701529","0.47157894736842104","0.33435406698564596","0.09002551834130795","0.1776076555023922","0.1071770334928235","0.08685380116959072","0.18009569377990425","0.1018181818181822"
"charmed-sweep-26","8fi8odtb","0.0005216454220591253","0.1665008555777986","6","0.17000867473869807","1645","0.05383587645101912","357","2.3677847210953877","2.290949760061322","0.23176866408445343","0.4997129186602871","0.3588516746411483","0.2266586921850079","0.498755980861244","0.3657416267942584","0.10012280701754402","0.1973205741626791","0.12019138755980913","0.10078780284043444","0.19904306220095672","0.11674641148325404"
"sunny-sweep-55","q6j2ked5","0.0007450598330057459","0.1860773418485457","3","0.24225515540783657","379","0.07847416232023186","425","2.3891618862384703","2.2980939041484487","0.2253852054378368","0.48229665071770333","0.3490909090909091","0.22287719298245617","0.4897607655502392","0.35291866028708135","0.09330447330447346","0.183157894736842","0.10985645933014396","0.09475347459557984","0.1883253588516748","0.11636363636363688"
"dry-sweep-100","dkufsyu1","0.000940724675865356","0.19484824705572776","5","0.2573443370599822","480","0.06952406494848772","1401","2.4164068580764098","2.2983809492804785","0.22443874838611697","0.4907177033492823","0.3517703349282297","0.22781392876129736","0.4901435406698565","0.3582775119617225","0.09781278954963173","0.19521531100478456","0.11311004784689052","0.09712888281309348","0.18909090909090895","0.11330143540669904"
"zany-sweep-83","jiio162z","0.0006899804915818682","0.17656728572844768","3","0.2423197855973105","819","0.07851023523662665","794","2.393962827760999","2.3005069566495493","0.23243244474823432","0.5041148325358852","0.3588516746411483","0.22449320270372924","0.4884210526315789","0.35617224880382775","0.10052487278803092","0.19368421052631551","0.11885167464114887","0.09255198602567026","0.18583732057416255","0.1069856459330148"
"helpful-sweep-66","lsd7l2nm","0.0005698296446820981","0.2007989942653561","3","0.3319281226352798","628","0.09082898348188732","490","2.4087303444379713","2.320604346015237","0.22872256398572188","0.4857416267942584","0.3550239234449761","0.22237328168907117","0.4784688995215311","0.3508133971291866","0.09146844383686505","0.18736842105263127","0.11272727272727334","0.08995868459026357","0.18220095693779909","0.10851674641148376"
"splendid-sweep-97","bign2w7g","0.0007323873567412041","0.2185295168749334","5","0.2433314369453128","516","0.0824405602799845","1075","2.4117771234454177","2.3230550505898218","0.22255897319055223","0.4798086124401914","0.3452631578947368","0.2139899749373437","0.4798086124401914","0.33837320574162677","0.0921504518872941","0.18258373205741596","0.1067942583732062","0.08644695071010867","0.1783732057416266","0.10392344497607704"
"smart-sweep-79","8f70iyjn","0.0008028017424713558","0.19460003884078617","3","0.26456489442682374","678","0.08716566814021398","1123","2.3636119983545165","2.3249203472426445","0.22773160173160176","0.4920574162679426","0.3542583732057416","0.2199327865117341","0.489377990430622","0.35043062200956937","0.096531935900357","0.19157894736842096","0.1167464114832542","0.0917935748462065","0.18928229665071772","0.10755980861244056"
